Index,smiles,complexity,atoms,DelE_red(V),MW,btz,scaffold1,scaffold2,scaffold3,scaffold4,scaffold5
1115,CC(C)Cc1c2c(cc3nsnc13)OCC2C,4,17,1.45,248.0983341,1,0,0,0,0,0
1116,CC1Cc2cc3nsnc3cc2N(C)C1,3,15,1.38,219.0830184,1,0,0,0,0,0
1117,CCCCc1ccc(OC(C)C)c2nsnc12,4,17,1.62,250.1139842,1,0,0,0,0,0
1118,CCC(C)c1c2c(cc3nsnc13)N(C)CN2CC,6,19,1.06,276.1408676,1,1,0,0,0,0
1120,CCN1CN(C)c2c1cc1nsnc1c2N(C)C,7,18,1.07,263.1204665,1,1,0,0,0,0
1121,CCN(C)CCOc1ccc2nsnc2c1,4,16,1.57,237.0935831,1,0,0,0,0,0
1123,Cc1c2c(cc3nsnc13)COCC2,5,14,1.6,206.0513839,1,0,0,0,0,0
1125,Cc1c(C)c(C)c2nsnc2c1C,8,13,1.41,192.0721194,1,0,0,0,0,0
1127,CCc1cc2c(c3nsnc13)N(C)C(C)C2,5,16,1.47,233.0986685,1,0,0,0,0,0
1128,CN(C)c1c2c(cc3nsnc13)OCCO2,3,16,1.47,237.0571976,1,0,0,1,0,0
1129,CCNc1c2c(c(CC)c3nsnc13)N(C)CN2C,8,19,1.3,277.1361166,1,1,0,0,0,0
1130,CCC(C)Oc1cc(OC)c2nsnc2c1,4,16,1.47,238.0775987,1,0,0,0,0,0
1131,CCCOc1c2c(cc3nsnc13)C1CCC2CC1,2,19,1.43,274.1139842,1,0,0,0,0,1
1132,CCCNc1c2c(c(C(C)C)c3nsnc13)C1CCC2C1,4,21,1.29,301.1612687,1,0,0,0,1,0
1133,CCCN1CCN(CCC)c2cc3nsnc3cc21,4,19,1.14,276.1408676,1,0,1,0,0,0
1134,CN(C)c1c2c(cc3nsnc13)C1CCC2CC1,3,18,1.48,259.1143185,1,0,0,0,0,1
1135,CCC1Oc2cc3nsnc3c(OC)c2OC1C,6,18,1.55,266.0725133,1,0,0,1,0,0
1136,CCCNc1c2c(cc3nsnc13)CC(C)C2,4,17,1.42,247.1143185,1,0,0,0,0,0
1137,COc1cc2nsnc2c(C)c1C(C)C,6,15,1.43,222.0826841,1,0,0,0,0,0
1138,CNc1cc2c(c3nsnc13)N(C)CCO2,4,16,1.39,236.073182,1,0,0,0,0,0
1139,COC1N(C(C)C)c2cc3nsnc3cc2N1C(C)C,6,20,1.2,292.1357823,1,1,0,0,0,0
1140,CCOc1c2c(cc3nsnc13)C(C)(C)CO2,4,17,1.53,250.0775987,1,0,0,0,0,0
1141,CCNc1c2c(cc3nsnc13)C(C)CC2,4,16,1.43,233.0986685,1,0,0,0,0,0
1143,Cc1c2c(cc3nsnc13)OCCN(C)C2,6,16,1.6,235.077933,1,0,0,0,0,0
1144,CNc1cc2c(c3nsnc13)OCC(C)O2,4,16,1.44,237.0571976,1,0,0,0,0,0
1145,CCN(C)CCNc1cccc2nsnc12,4,16,1.51,236.1095675,1,0,0,0,0,0
1146,CCN1CCN(C)c2c1c(C(C)C)c1nsnc1c2C,8,20,1.26,290.1565177,1,0,1,0,0,0
1147,CCCOc1ccc2nsnc2c1,2,13,1.65,194.0513839,1,0,0,0,0,0
1148,CCCOc1ccc(C(C)CC)c2nsnc12,4,17,1.53,250.1139842,1,0,0,0,0,0
1149,CCOc1cc(NC)c2nsnc2c1OC,6,16,1.46,239.0728477,1,0,0,0,0,0
1151,Cc1cc2nsnc2c2c1CCCO2,4,14,1.5,206.0513839,1,0,0,0,0,0
1152,CCN(CC)c1ccc2nsnc2c1C,5,15,1.54,221.0986685,1,0,0,0,0,0
1153,Cc1c2c(cc3nsnc13)CC(C)O2,4,14,1.45,206.0513839,1,0,0,0,0,0
1154,CCN(CC)c1ccc2nsnc2c1OC,5,16,1.53,237.0935831,1,0,0,0,0,0
1155,CCOc1c(CC)cc2nsnc2c1C,6,15,1.56,222.0826841,1,0,0,0,0,0
1156,CCCNc1c2c(c(OCC)c3nsnc13)C1CCC2C1,4,21,1.4,303.1405333,1,0,0,0,1,0
1157,CC(C)CN1CCN(C)c2cc3nsnc3cc21,4,18,1.15,262.1252176,1,0,1,0,0,0
1158,CCCN1CN(C)c2cc3nsnc3c(N(C)C)c21,7,19,1.09,277.1361166,1,1,0,0,0,0
1159,COc1c2c(cc3nsnc13)OC(C)C(C)O2,6,17,1.55,252.0568632,1,0,0,1,0,0
1160,CNc1c2c(cc3nsnc13)C(C)(C)CO2,4,16,1.43,235.077933,1,0,0,0,0,0
1161,CCC(C)c1c2c(c(C)c3nsnc13)C1CCC2CC1,4,20,1.33,286.1503697,1,0,0,0,0,1
1162,CC(C)COc1c2c(cc3nsnc13)N(C)CN2C,6,19,1.2,278.1201322,1,1,0,0,0,0
1163,CCOCCN(C)c1cccc2nsnc12,4,16,1.53,237.0935831,1,0,0,0,0,0
1164,CN(C)CCc1c2c(cc3nsnc13)N(C)CCN2C,8,20,1.19,291.1517667,1,0,1,0,0,0
1165,Cc1cc2nsnc2c2c1CCC2,4,13,1.51,190.0564693,1,0,0,0,0,0
1166,CCOc1c2c(cc3nsnc13)N(C)CCN2C(C)CC,6,21,1.25,306.1514323,1,0,1,0,0,0
1167,CCCOc1cc2nsnc2cc1CCC,4,16,1.46,236.0983341,1,0,0,0,0,0
1168,CCC(C)N(CC)c1ccc2nsnc2c1,3,16,1.42,235.1143185,1,0,0,0,0,0
1170,CCc1c2c(cc3nsnc13)C(C)CC2,4,15,1.48,218.0877694,1,0,0,0,0,0
1172,CC1COc2c1c(N(C)C)cc1nsnc21,5,16,1.5,235.077933,1,0,0,0,0,0
1173,CCN1CCOc2cc(C)c3nsnc3c21,4,16,1.42,235.077933,1,0,0,0,0,0
1174,CCC(C)c1cc2c(c3nsnc13)CC(C)C2,4,17,1.51,246.1190696,1,0,0,0,0,0
1175,CNc1c(C)c(C(C)C)cc2nsnc12,6,15,1.51,221.0986685,1,0,0,0,0,0
1176,CCCOc1cc(CC)c2nsnc2c1,4,15,1.49,222.0826841,1,0,0,0,0,0
1177,COCCN(C)c1c2c(cc3nsnc13)C1CCC2C1,4,20,1.46,289.1248832,1,0,0,0,1,0
1178,CCCN1CCOc2ccc3nsnc3c21,2,16,1.47,235.077933,1,0,0,0,0,0
1179,CCCOc1c(OC)c(C)cc2nsnc12,6,16,1.61,238.0775987,1,0,0,0,0,0
1180,Cc1c2c(c(C)c3nsnc13)OC(CC(C)C)CO2,6,19,1.41,278.1088988,1,0,0,1,0,0
1181,CCOc1c2c(cc3nsnc13)N(CC(C)C)CN2C,6,20,1.1,292.1357823,1,1,0,0,0,0
1182,CCc1c2c(cc3nsnc13)OC(C(C)C)CO2,4,18,1.47,264.0932488,1,0,0,1,0,0
1183,Cc1c2c(cc3nsnc13)N(C)C(C)C2,5,15,1.29,219.0830184,1,0,0,0,0,0
1184,CCOc1cc(C)c(OCC)c2nsnc12,6,16,1.48,238.0775987,1,0,0,0,0,0
1185,COc1cc2c(c3nsnc13)C(C)(C)CO2,4,16,1.49,236.0619486,1,0,0,0,0,0
1186,COc1cc2nsnc2c2c1C(C)CN2,4,15,1.43,221.062283,1,0,0,0,0,0
1187,CCNc1c2c(c(NC)c3nsnc13)OCCO2,4,18,1.38,266.0837467,1,0,0,1,0,0
1188,CCC1Cc2c3c(c4nsnc4c2N1)CCC3,4,17,1.46,245.0986685,1,0,0,0,0,0
1189,CCCCN1CCN(C(C)C)c2cc3nsnc3c(C)c21,6,21,1.23,304.1721678,1,0,1,0,0,0
1190,CCc1c2c(c(NCC(C)C)c3nsnc13)C1CCC2CC1,4,22,1.36,315.1769188,1,0,0,0,0,1
1191,CCCCc1c2c(c(NCC)c3nsnc13)C1CCC2C1,4,21,1.33,301.1612687,1,0,0,0,1,0
1192,COc1c(C)c(C)cc2nsnc12,6,13,1.57,194.0513839,1,0,0,0,0,0
1194,COCCOc1cc2nsnc2cc1OC,5,16,1.55,240.0568632,1,0,0,0,0,0
1195,CCc1cc(OCC(C)C)c2nsnc2c1,4,16,1.53,236.0983341,1,0,0,0,0,0
1196,COc1cc(N(C)C)c2nsnc2c1OC,7,16,1.51,239.0728477,1,0,0,0,0,0
1197,CCc1c2c(cc3nsnc13)COCCO2,5,16,1.63,236.0619486,1,0,0,0,0,0
1198,CCOc1cc(CCOC)c2nsnc2c1,5,16,1.51,238.0775987,1,0,0,0,0,0
1199,CCNc1c2c(cc3nsnc13)COCC2,5,16,1.53,235.077933,1,0,0,0,0,0
1201,CCOc1c2c(c(N(CC)CC)c3nsnc13)C1CCC2C1,5,22,1.35,317.1561834,1,0,0,0,1,0
1202,CC1CCc2c3c(c4nsnc4c2O1)CCO3,4,17,1.45,248.0619486,1,0,0,0,0,0
1203,CC(C)c1c2c(cc3nsnc13)OC(C(C)C)CO2,5,19,1.45,278.1088988,1,0,0,1,0,0
1204,CC(C)c1ccc2nsnc2c1,2,12,1.63,178.0564693,1,0,0,0,0,0
1205,CCc1c2c(c3nsnc3c1C)OCC2,6,15,1.53,220.067034,1,0,0,0,0,0
1206,CCNc1cc2c(c3nsnc13)N(C)CCO2,4,17,1.38,250.0888321,1,0,0,0,0,0
1207,c1c2c(cc3nsnc13)OCCOCCC2,3,16,1.64,236.0619486,1,0,0,0,0,0
1208,CCc1cc(C)c2nsnc2c1N(C)CC,7,16,1.52,235.1143185,1,0,0,0,0,0
1209,CCCCc1c(C)ccc2nsnc12,4,14,1.58,206.0877694,1,0,0,0,0,0
1210,CCc1c(C)c(OC)c2nsnc2c1C,8,15,1.52,222.0826841,1,0,0,0,0,0
1211,CCCN1CCN(C(C)CC)c2cc3nsnc3cc21,4,20,1.12,290.1565177,1,0,1,0,0,0
1212,CCOc1c2c(c(OCC)c3nsnc13)C1CCC2C1,4,20,1.5,290.1088988,1,0,0,0,1,0
1214,CCc1c(OC)c(N(C)C)cc2nsnc12,7,16,1.45,237.0935831,1,0,0,0,0,0
1215,CCCCc1ccc2nsnc2c1CC,4,15,1.57,220.1034195,1,0,0,0,0,0
1216,Cc1c(N(C)C)c(N(C)C)cc2nsnc12,8,16,1.38,236.1095675,1,0,0,0,0,0
1217,CCOCCNc1c2c(c(OC)c3nsnc13)C1CCC2C1,5,22,1.42,319.1354479,1,0,0,0,1,0
1218,Cc1c2c(c(OCC(C)C)c3nsnc13)C1CCC2C1,4,20,1.43,288.1296343,1,0,0,0,1,0
1219,COc1c(C)c2c(c3nsnc13)CC(C)O2,6,16,1.52,236.0619486,1,0,0,0,0,0
1220,CCCOc1ccc(OC(C)C)c2nsnc12,4,17,1.61,252.0932488,1,0,0,0,0,0
1221,CCC(C)Nc1c2c(cc3nsnc13)OCCO2,2,18,1.49,265.0884977,1,0,0,1,0,0
1222,CC/C([O-])=[N+](\c1c2c(cc3nsnc13)C1CCC2C1)C(C)C,3,22,1.59,315.1405333,1,0,0,0,1,0
1223,CCN1CN(CC(C)C)c2c1cc1nsnc1c2C,6,19,1.1,276.1408676,1,1,0,0,0,0
1224,CCCCc1c2c(c(CC)c3nsnc13)OCCO2,4,19,1.4,278.1088988,1,0,0,1,0,0
1225,COC1CN(C)c2c1ccc1nsnc21,4,15,1.57,221.062283,1,0,0,0,0,0
1226,COc1c(C)cc(C)c2nsnc12,6,13,1.48,194.0513839,1,0,0,0,0,0
1228,CCc1cc(NC)c2nsnc2c1OC,6,15,1.49,223.077933,1,0,0,0,0,0
1229,CCCc1cc2nsnc2cc1OC(C)C,4,16,1.5,236.0983341,1,0,0,0,0,0
1230,CCCCc1c2c(c(NC)c3nsnc13)OCCO2,5,19,1.37,279.1041478,1,0,0,1,0,0
1231,CCCN1CCN(C)c2cc3nsnc3c(NC(C)C)c21,6,21,1.18,305.1674167,1,0,1,0,0,0
1232,CNc1cc(N(C)C)c(OC)c2nsnc12,7,16,1.44,238.0888321,1,0,0,0,0,0
1234,CCNc1c2c(cc3nsnc13)C1CCC2CC1,2,18,1.42,259.1143185,1,0,0,0,0,1
1235,CC1CCc2c1c1c(c3nsnc23)NCC1C,4,17,1.48,245.0986685,1,0,0,0,0,0
1236,CCC(C)Nc1cccc2nsnc12,2,14,1.5,207.0830184,1,0,0,0,0,0
1237,CCc1c2c(c(N(CC)CC)c3nsnc13)C1CCC2C1,5,21,1.33,301.1612687,1,0,0,0,1,0
1238,CCOc1cc2nsnc2cc1C(C)C,4,15,1.49,222.0826841,1,0,0,0,0,0
1239,COc1cc(OC(C)C)c(C)c2nsnc12,6,16,1.53,238.0775987,1,0,0,0,0,0
1240,CN1CCOc2c3c(c4nsnc4c21)CCO3,4,17,1.38,249.0571976,1,0,0,0,0,0
1241,CNc1c2c(cc3nsnc13)CC(C)N2C,5,16,1.28,234.0939174,1,0,0,0,0,0
1243,Cc1c2c(cc3nsnc13)N(C)CCN2C,6,16,1.29,234.0939174,1,0,1,0,0,0
1244,CCOc1cc2c(c3nsnc13)OC(CC)C2,4,17,1.65,250.0775987,1,0,0,0,0,0
1245,CCNc1c2c(c(C(C)CC)c3nsnc13)C1CCC2CC1,4,22,1.41,315.1769188,1,0,0,0,0,1
1246,CCCN(CC)c1ccc2nsnc2c1C,5,16,1.53,235.1143185,1,0,0,0,0,0
1247,CCc1c2c(c(CC)c3nsnc13)OCC2,6,16,1.38,234.0826841,1,0,0,0,0,0
1248,CCN(C)c1c(C(C)C)ccc2nsnc12,5,16,1.57,235.1143185,1,0,0,0,0,0
1249,CCCc1c(C)cc2nsnc2c1OCC,6,16,1.57,236.0983341,1,0,0,0,0,0
1250,CCOc1cc(CC)c(C)c2nsnc12,6,15,1.62,222.0826841,1,0,0,0,0,0
1252,CC1CCOc2cc3nsnc3cc21,2,14,1.58,206.0513839,1,0,0,0,0,0
1253,CCN1CCc2cc3nsnc3c(C)c21,5,15,1.3,219.0830184,1,0,0,0,0,0
1254,COc1cc2c(c3nsnc13)N(C)CCC2,5,16,1.45,235.077933,1,0,0,0,0,0
1255,CC1Cc2c(c3c(c4nsnc24)OCCC3)O1,4,17,1.45,248.0619486,1,0,0,0,0,0
1257,CCC1CN(C)c2ccc3nsnc3c21,3,15,1.5,219.0830184,1,0,0,0,0,0
1258,CC(C)c1cc2nsnc2c2c1CCO2,4,15,1.58,220.067034,1,0,0,0,0,0
1260,CCN(c1c2c(cc3nsnc13)C1CCC2CC1)C(C)C,3,21,1.43,301.1612687,1,0,0,0,0,1
1261,CCCN1CCN(C)c2cc3nsnc3cc21,4,17,1.15,248.1095675,1,0,1,0,0,0
1262,CCCOCCc1c2c(cc3nsnc13)C1CCC2CC1,3,21,1.46,302.1452843,1,0,0,0,0,1
1263,COc1cc(N(C)C(C)C)cc2nsnc12,5,16,1.38,237.0935831,1,0,0,0,0,0
1264,CCC1Oc2ccc3nsnc3c2OC1C,3,16,1.57,236.0619486,1,0,0,0,0,0
1265,CCc1c2c(cc3nsnc13)N(C)CCO2,4,16,1.3,235.077933,1,0,0,0,0,0
1267,CC1CN(C(C)C)c2cc3nsnc3cc21,3,16,1.32,233.0986685,1,0,0,0,0,0
1268,CCCc1cc(OC)c(NC)c2nsnc12,6,16,1.47,237.0935831,1,0,0,0,0,0
1270,CCc1cc2nsnc2c(N(C)C)c1OC,7,16,1.52,237.0935831,1,0,0,0,0,0
1271,CCCc1cc2nsnc2c2c1OCC2,4,15,1.53,220.067034,1,0,0,0,0,0
1272,CCC(C)Oc1cc(OC)cc2nsnc12,4,16,1.56,238.0775987,1,0,0,0,0,0
1273,CCC(C)c1ccc(C(C)C)c2nsnc12,4,16,1.49,234.1190696,1,0,0,0,0,0
1274,Cc1c2c(c3nsnc3c1C)OCC2C,6,15,1.53,220.067034,1,0,0,0,0,0
1276,CCc1cc(C)c2nsnc2c1NC,6,14,1.46,207.0830184,1,0,0,0,0,0
1277,CN(C)c1c2c(cc3nsnc13)CCO2,5,15,1.45,221.062283,1,0,0,0,0,0
1278,COc1cc(C)c2nsnc2c1N(C)C,7,15,1.58,223.077933,1,0,0,0,0,0
1279,Cc1ccc(N(C)CC(C)C)c2nsnc12,5,16,1.44,235.1143185,1,0,0,0,0,0
1280,c1c2c(cc3nsnc13)C1CCC2CC1,4,15,1.52,216.0721194,1,0,0,0,0,1
1281,CCCOCCN(C)c1c2c(cc3nsnc13)C1CCC2C1,4,22,1.41,317.1561834,1,0,0,0,1,0
1283,CCC(C)c1c2c(cc3nsnc13)OC(C)CO2,4,18,1.45,264.0932488,1,0,0,1,0,0
1284,CCN1CCN(C)c2c1cc1nsnc1c2/[NH+]=C(\C)[O-],6,20,1.46,291.1153812,1,0,1,0,0,0
1285,CCOc1cc2nsnc2c(OC)c1OC,6,16,1.55,240.0568632,1,0,0,0,0,0
1287,CCCNc1c2c(c(CCC)c3nsnc13)C1CCC2CC1,4,22,1.36,315.1769188,1,0,0,0,0,1
1288,CN(C)c1cc2nsnc2c2c1CCCN2,5,16,1.4,234.0939174,1,0,0,0,0,0
1289,CNc1c(N(C)C(C)C)ccc2nsnc12,5,16,1.53,236.1095675,1,0,0,0,0,0
1290,CCc1c2c(cc3nsnc13)N(C)C(C)C2,5,16,1.29,233.0986685,1,0,0,0,0,0
1291,CCOc1c2c(c(CCOC)c3nsnc13)C1CCC2CC1,5,22,1.48,318.1401989,1,0,0,0,0,1
1292,COCCN1CCN(C)c2c1cc1nsnc1c2C(C)C,7,21,1.28,306.1514323,1,0,1,0,0,0
1293,CCC(C)Nc1c2c(cc3nsnc13)CCC2,4,17,1.53,247.1143185,1,0,0,0,0,0
1294,CCN(CC)c1c2c(c(C)c3nsnc13)OCCO2,6,19,1.38,279.1041478,1,0,0,1,0,0
1295,CCN1CCN(CC)c2c1cc1nsnc1c2OC(C)C,6,21,1.25,306.1514323,1,0,1,0,0,0
1296,CC1CCc2ccc3nsnc3c21,2,13,1.58,190.0564693,1,0,0,0,0,0
1297,CCc1ccc(NC)c2nsnc12,4,13,1.47,193.0673684,1,0,0,0,0,0
1298,CCCOc1c(CC)c(C)cc2nsnc12,6,16,1.57,236.0983341,1,0,0,0,0,0
1299,CC(C)OCCNc1c2c(cc3nsnc13)OCCO2,4,20,1.46,295.0990624,1,0,0,1,0,0
1301,Cc1cc2nsnc2c2c1OCC2C,4,14,1.51,206.0513839,1,0,0,0,0,0
1302,CNc1c2c(cc3nsnc13)CCCN2C,5,16,1.42,234.0939174,1,0,0,0,0,0
1303,CCCc1c2c(c(OC)c3nsnc13)C1CCC2CC1,4,20,1.46,288.1296343,1,0,0,0,0,1
1304,CC1COc2c(cc(C(C)C)c3nsnc23)O1,4,17,1.51,250.0775987,1,0,0,0,0,0
1305,COc1c(C)c2c(c3nsnc13)CCN2C,7,16,1.48,235.077933,1,0,0,0,0,0
1307,CC(C)Cc1c2c(c(N(C)C)c3nsnc13)C1CCC2C1,5,21,1.37,301.1612687,1,0,0,0,1,0
1308,CCN1CN(C)c2c1cc1nsnc1c2CC(C)C,6,19,1.08,276.1408676,1,1,0,0,0,0
1309,CCCc1c(C)c(CC)cc2nsnc12,6,15,1.49,220.1034195,1,0,0,0,0,0
1310,CCNc1c2c(c(N(C)C)c3nsnc13)OCCO2,5,19,1.38,280.0993968,1,0,0,1,0,0
1311,COCCN1CCN(C)c2c1cc1nsnc1c2C,7,19,1.3,278.1201322,1,0,1,0,0,0
1312,CC(C)CN1CCN(C)c2cc3nsnc3c(N(C)C)c21,7,21,1.25,305.1674167,1,0,1,0,0,0
1314,COc1c2c(cc3nsnc13)N(C)C(OC)N2C,8,18,1.27,266.0837467,1,1,0,0,0,0
1315,COc1cc2nsnc2cc1C(C)C,4,14,1.5,208.067034,1,0,0,0,0,0
1316,CCCc1cc2c(c3nsnc13)NCCO2,3,16,1.45,235.077933,1,0,0,0,0,0
1317,CCNc1c(C)c(N(C)C)cc2nsnc12,7,16,1.46,236.1095675,1,0,0,0,0,0
1318,CCCN1CN(C)c2c1c(C)c1nsnc1c2OC,8,19,1.19,278.1201322,1,1,0,0,0,0
1319,C1Cc2c(c3c(c4nsnc24)OCC3)O1,4,15,1.54,220.0306485,1,0,0,0,0,0
1320,CC1COc2c(c3c(c4nsnc24)CCO3)O1,4,17,1.45,250.0412132,1,0,0,0,0,0
1321,COc1c2c(c(NCC(C)C)c3nsnc13)C1CCC2CC1,4,22,1.45,317.1561834,1,0,0,0,0,1
1322,COc1c2c(c(OC)c3nsnc13)C1CCC2C1,4,18,1.52,262.0775987,1,0,0,0,1,0
1323,CCOc1c2c(c(OC)c3nsnc13)OC(C)CO2,6,19,1.57,282.0674279,1,0,0,1,0,0
1324,Cc1ccc(OCC(C)C)c2nsnc12,4,15,1.55,222.0826841,1,0,0,0,0,0
1325,CNc1c(C)cc(N(C)C)c2nsnc12,7,15,1.48,222.0939174,1,0,0,0,0,0
1326,CCOc1c(OCC(C)C)ccc2nsnc12,4,17,1.69,252.0932488,1,0,0,0,0,0
1327,CCOc1ccc2nsnc2c1CC(C)C,4,16,1.55,236.0983341,1,0,0,0,0,0
1328,CCc1c(OC)c(OC)cc2nsnc12,6,15,1.46,224.0619486,1,0,0,0,0,0
1329,CCc1c2c(cc3nsnc13)N(C)CC2,5,15,1.29,219.0830184,1,0,0,0,0,0
1330,CNc1cc(OC)c(C(C)C)c2nsnc12,6,16,1.36,237.0935831,1,0,0,0,0,0
1331,COc1c(C(C)C)cc(C)c2nsnc12,6,15,1.69,222.0826841,1,0,0,0,0,0
1332,CCC(C)N1CCc2ccc3nsnc3c21,3,16,1.45,233.0986685,1,0,0,0,0,0
1333,CCc1c2c(c(OC)c3nsnc13)CCO2,6,16,1.46,236.0619486,1,0,0,0,0,0
1334,CCC(C)c1c2c(cc3nsnc13)C1CCC2C1,2,18,1.39,258.1190696,1,0,0,0,1,0
1335,CCCNc1c(C)c(OC)cc2nsnc12,6,16,1.39,237.0935831,1,0,0,0,0,0
1336,CN1CCNc2c1ccc1nsnc21,2,14,1.44,206.0626173,1,0,0,0,0,0
1337,CCOc1c2c(c(NC)c3nsnc13)N(C)CCN2C,8,20,1.34,293.1310312,1,0,1,0,0,0
1339,CNc1c(OC)c(C)c(OC)c2nsnc12,8,16,1.52,239.0728477,1,0,0,0,0,0
1340,CCc1c(C)cc2nsnc2c1N(C)C,7,15,1.53,221.0986685,1,0,0,0,0,0
1342,CCCOc1cc(CC)cc2nsnc12,4,15,1.61,222.0826841,1,0,0,0,0,0
1343,CCCN1CCN(C)c2c1c(NC)c1nsnc1c2C,8,20,1.38,291.1517667,1,0,1,0,0,0
1344,COc1cc2c(c3nsnc13)CCCO2,4,15,1.46,222.0462986,1,0,0,0,0,0
1345,Cc1ccc2nsnc2c1OCC(C)C,4,15,1.53,222.0826841,1,0,0,0,0,0
1346,Cc1cc2c(c3nsnc13)CC(C)CO2,4,15,1.47,220.067034,1,0,0,0,0,0
1347,CCCCOCCc1c2c(cc3nsnc13)C1CCC2C1,3,21,1.42,302.1452843,1,0,0,0,1,0
1349,C1Cc2c3c(c4nsnc4c2N1)OCCO3,3,16,1.47,235.0415475,1,0,0,0,0,0
1350,CCCC1COc2cc(C)c3nsnc3c2O1,4,17,1.52,250.0775987,1,0,0,0,0,0
1351,COc1cc2nsnc2c2c1CCOC2,5,15,1.52,222.0462986,1,0,0,0,0,0
1352,CCCc1c2c(cc3nsnc13)N(CC(C)C)CN2C,6,20,1.02,290.1565177,1,1,0,0,0,0
1353,COc1cc(N(C)C(C)C)c2nsnc2c1,5,16,1.44,237.0935831,1,0,0,0,0,0
1354,COc1c(C)cc(NC(C)C)c2nsnc12,6,16,1.49,237.0935831,1,0,0,0,0,0
1355,CC1Oc2cc3nsnc3cc2C1C,2,14,1.52,206.0513839,1,0,0,0,0,0
1356,Cc1cc2nsnc2c2c1OCC2,4,13,1.52,192.0357339,1,0,0,0,0,0
1357,CCCc1c2c(cc3nsnc13)OC(C)C2,4,16,1.44,234.0826841,1,0,0,0,0,0
