SMILES,Ered(V)
Cc1c2c(cc3nsnc13)N(C)CCN2CCN(C)C,1.27
CCN1CCN(CCOC)c2c1cc1nsnc1c2C,1.27
CCNc1c2c(cc3nsnc13)N(C)CCN2C(C)C,1.24
CCCN1CCN(CC)c2cc3nsnc3c(NCC)c21,1.22
CCNc1c2c(cc3nsnc13)N(CC)CCN2C(C)C,1.2
CCCNc1c2c(cc3nsnc13)N(CC)CCN2C,1.39
CCNc1c2c(cc3nsnc13)N(C(C)CC)CCN2C,1.22
Cc1c2c(cc3nsnc13)N(C)CCN2CC(C)C,1.27
CCCNc1c2c(cc3nsnc13)N(C)CCN2CCC,1.28
CC(C)Nc1c2c(cc3nsnc13)N(C(C)C)CCN2C,1.24
CCN1CCN(C(C)C)c2cc3nsnc3c(C)c21,1.26
CNc1c2c(cc3nsnc13)N(C(C)C)CCN2C,1.22
CCC(C)N1CCN(C)c2cc3nsnc3c(NC)c21,1.18
CCNc1c2c(cc3nsnc13)N(C(C)C)CCN2C,1.23
CCCNc1c2c(cc3nsnc13)N(C)CCN2CC,1.14
CCCN1CCN(C)c2cc3nsnc3c(NC)c21,1.26
CC(C)CNc1c2c(cc3nsnc13)N(C)CCN2C,1.24
CC(C)N1c2cc3nsnc3cc2CC1C,1.29
CCCN1CCN(C(C)C)c2cc3nsnc3c(NC)c21,1.35
CCN1CCN(CC)c2c1cc1nsnc1c2NC,1.27
CC(C)Nc1c2c(cc3nsnc13)N(C)CCN2C(C)C,1.49
CCN1CCN(CC(C)C)c2cc3nsnc3c(NC)c21,1.3
CCCNc1c2c(cc3nsnc13)N(C)CCN2C(C)C,1.08
CCCN1CCN(C(C)C)c2c1cc1nsnc1c2NC,1.19
CCN1CCN(C(C)C)c2cc3nsnc3c(NC)c21,1.18
CCN1CCN(C)c2cc3nsnc3c(NCCOC)c21,1.35
CCCCN1CCN(CC)c2cc3nsnc3c(NC)c21,1.36
CCCN1CCN(C(C)C)c2c1cc1nsnc1c2CC,1.38
CNc1c2c(cc3nsnc13)N(C)CCC2,1.28
CCCN1CCN(C)c2cc3nsnc3c(NCC)c21,1.37
CCNc1c2c(cc3nsnc13)N(CC)CCN2C,1.23
CCCN1CCN(CC)c2c1cc1nsnc1c2C,1.23
CCCNc1c2c(cc3nsnc13)N(C)CCN2C,1.24
CCNc1c2c(cc3nsnc13)N(C)CCN2CC,1.21
CCN(C)c1c2c(cc3nsnc13)N(C(C)C)CCN2C,1.16
CCCCNc1c2c(cc3nsnc13)N(CC)CCN2C,1.18
CCc1c2c(cc3nsnc13)N(CC)CCN2C(C)CC,1.22
CCc1c2c(cc3nsnc13)N(CC)CCN2CC,1.25
CCN1CCN(CC)c2c1cc1nsnc1c2C,1.31
CCC(C)N1CCN(CC)c2cc3nsnc3c(NC)c21,1.17
CCN1CCN(CC(C)C)c2c1cc1nsnc1c2NC,1.34
CCCN1CCN(C)c2c1cc1nsnc1c2NC(C)C,1.19
CCN1CCN(C)c2cc3nsnc3c(C)c21,1.24
CCCN1CCN(C)c2c1cc1nsnc1c2NC,1.23
COCCNc1c2c(cc3nsnc13)N(C)CCN2C,1.16
CCc1c2c(cc3nsnc13)N(C)CCN2C(C)C,1.29
CCCN1CCN(C(C)CC)c2c1cc1nsnc1c2C,1.17
CCCCN1CCN(CC)c2c1cc1nsnc1c2CC,1.16
CCCN1CCN(CC)c2c1cc1nsnc1c2CC,1.26
CNc1c2c(cc3nsnc13)N(C)CCN2C,1.24
CCC(C)N1CCN(C)c2c1cc1nsnc1c2NC,1.11
CCCCN1CCN(C(C)C)c2c1cc1nsnc1c2C,1.16
CCNc1c2c(cc3nsnc13)N(CC)CCN2CC,1.3
CNc1c2c(cc3nsnc13)N(C)CCN2CCOC,1.16
CCCCN1CCN(C(C)CC)c2cc3nsnc3cc21,1.05
CCCN1CCN(CC)c2c1cc1nsnc1c2C(C)C,1.3
CCCc1c2c(cc3nsnc13)N(CC)CCN2C(C)C,1.27
CCN1CCN(C)c2c1cc1nsnc1c2NC(C)C,0.98
CCCCN1CCN(C)c2cc3nsnc3c(NC)c21,1.22
CCOCCN1CCN(C)c2cc3nsnc3c(C)c21,1.41
CCN1CN(CCOC)c2c1cc1nsnc1c2C,1.02
CCc1c2c(cc3nsnc13)N(C)CCN2C(C)CC,1.26
CCNc1cc(N(C)CC)cc2nsnc12,1.23
CCCOC1N(CC)c2cc3nsnc3cc2N1CC,1.08
CCN1CCN(C)c2cc3nsnc3c(C(C)C)c21,1.23
CCC(C)N1CCN(C)c2c1cc1nsnc1c2C,1.3
CCCN1CCN(CC)c2cc3nsnc3c(NC)c21,1.19
CCCN1CCN(CC)c2c1cc1nsnc1c2NCC,1.17
CCCOC1N(C)c2cc3nsnc3cc2N1CC,1.15
CCCOC1N(C)c2cc3nsnc3cc2N1C(C)C,1.1
CCCN1CCN(C)c2cc3nsnc3c(C)c21,1.2
CC(C)Nc1c2c(cc3nsnc13)N(C)CCN2C,1.24
CNc1c2c(cc3nsnc13)N(C)CCN2CC(C)C,1.35
CCCCN1CCN(CC)c2cc3nsnc3c(CC)c21,1.31
CCCN1CCN(C(C)C)c2cc3nsnc3cc21,1.18
CCCN1CCN(CC)c2c1cc1nsnc1c2NC,1.12
CCOC1N(C)c2cc3nsnc3cc2N1C(C)C,1.11
CCOC1N(C)c2cc3nsnc3cc2N1C(C)CC,1.11
CCCCN1CCN(C(C)C)c2cc3nsnc3cc21,1.13
CCC(C)N1CCN(C)c2cc3nsnc3c(C)c21,1.22
CCCCN1CCN(C)c2cc3nsnc3c(C)c21,1.13
CCCN1c2cc3nsnc3cc2N(C)C1OC(C)C,1.12
CCN1c2cc3nsnc3cc2N(CC)C1OC,0.89
CCN1CCN(C)c2c1cc1nsnc1c2NC,1.23
CCCc1c2c(cc3nsnc13)N(C)CCN2C(C)CC,1.19
CCCCN1CCN(C)c2cc3nsnc3c(CC)c21,1.38
Cc1c2c(cc3nsnc13)N(C)CCN2C(C)C,1.15
CCN1CCc2c1cc1nsnc1c2C,1.26
CNc1c2c(cc3nsnc13)N(CC(C)C)CCN2C,1.21
CCNc1c2c(cc3nsnc13)N(C)CCN2CCOC,1.22
CCN1CCN(CC)c2c1c(C)c1nsnc1c2NC,1.29
CCC(C)Nc1c2c(cc3nsnc13)N(C)CCN2C,1.19
CCN1CC(C)c2c1cc1nsnc1c2C,1.19
Cc1c2c(cc3nsnc13)N(C)C(C)CC2,1.27
CCCN1CCN(C)c2c1cc1nsnc1c2C,1.24
CCN1CCN(CC(C)C)c2cc3nsnc3c(C)c21,1.38
CCCCN1CCN(C)c2cc3nsnc3c(CCC)c21,0.92
CCc1c2c(cc3nsnc13)N(CC)CCO2,1.27
CCN1c2cc3nsnc3cc2N(CC(C)C)C1OC,0.96
CCC(C)Nc1c2c(cc3nsnc13)N(C)CCN2CC,1.37
CCCOC1N(C)c2cc3nsnc3cc2N1CCC,1.12
CCC(C)c1c2c(cc3nsnc13)N(CC)CCN2C,1.24
CCN1CCN(CC(C)C)c2c1cc1nsnc1c2C,1.19
CCCN1CCN(C(C)C)c2cc3nsnc3c(C)c21,1.19
CCOC1N(CC)c2cc3nsnc3cc2N1C(C)C,1.14
CCOC1N(C)c2cc3nsnc3c(C)c2N1CC,0.84
CNc1c2c(cc3nsnc13)N(C)C(C)C2,1.2
CCC(C)N1c2cc3nsnc3cc2CC1C,1.32
CCCN1CCN(CCC)c2c1cc1nsnc1c2C,1.25
CCCN1CCN(CC)c2c1c(C)c1nsnc1c2C,1.36
COCCN1CCN(C)c2cc3nsnc3c(C)c21,1.21
CNc1c2c(cc3nsnc13)N(C)CCN2C(C)C,1.21
COc1c2c(cc3nsnc13)N(CC(C)C)CCN2C,1.25
CCN1CCN(C)c2c1cc1nsnc1c2NCCOC,0.96
CCN1CCc2c1cc1nsnc1c2NC,1.29
Cc1c2c(cc3nsnc13)N(C(C)C)CCO2,1.29
CCNc1c2c(cc3nsnc13)N(C)CCO2,1.28
CCCN1CCN(CC)c2cc3nsnc3c(N(C)C)c21,1.21
CCN1CCOc2c1cc1nsnc1c2C,1.26
CCN1CCOc2c1cc1nsnc1c2NC,1.26
CCCN1c2cc3nsnc3cc2N(C)C1OC,1.12
CC(C)CN1c2cc3nsnc3cc2CC1C,1.28
CCN1CCN(C)c2cc3nsnc3c(NC)c21,1.23
COc1cc2nsnc2c2c1CCCN2C,1.35
CC(C)CN1CCc2cc3nsnc3cc21,1.27
CNc1c2c(cc3nsnc13)N(C)CC2C,1.19
CCC(C)N1CN(C(C)CC)c2cc3nsnc3cc21,1.06
Cc1c2c(cc3nsnc13)N(CC(C)C)CN2C(C)C,1.09
CCCNc1c2c(cc3nsnc13)N(C(C)C)CCN2C,1.24
CCN1CCN(CCOC)c2cc3nsnc3c(NC)c21,1.21
CNc1c2c(cc3nsnc13)N(C)CC2,1.31
CCOc1cc2nsnc2c2c1C(C)CCN2,1.37
CCCOc1cc2nsnc2c2c1CCCN2,1.36
CCCCN1CCN(C)c2c1cc1nsnc1c2C,1.22
CCN1c2c(cc3nsnc3c2C)N(C)C1OC,1.14
CCC(C)N1CN(CC)c2c1cc1nsnc1c2C,1.13
CCNc1c2c(cc3nsnc13)N(C(C)CC)CN2C,1.03
CCN1c2cc3nsnc3c(C)c2N(C)C1OC,1.22
CCN1CN(CC)c2c1c(C)c1nsnc1c2C,1.01
CCN(C)c1cc2nsnc2c2c1OCCN2,1.54
CCOC1N(C)c2cc3nsnc3cc2N1CC(C)C,1.1
CCCN1CCN(CC(C)C)c2cc3nsnc3c(C)c21,1.25
CCCCN1CN(CCCC)c2cc3nsnc3cc21,1.13
COc1cc2nsnc2c2c1CCCN2,1.36
CCCN1CN(CC)c2c1c(C)c1nsnc1c2C,1.15
CCCN1CN(CC)c2c1cc1nsnc1c2C,1.1
CNc1c2c(cc3nsnc13)N(C)CCO2,1.27
COc1cc2nsnc2c2c1C(C)CCN2,1.38
COC1N(C)c2cc3nsnc3c(C)c2N1C(C)C,0.8
CCCN1CCN(C)c2c1cc1nsnc1c2N(C)CC,1.32
CC(C)Oc1cc(N(C)C)c2nsnc2c1,1.29
CCCN1CN(C)c2c1cc1nsnc1c2NCC,1.22
CCNc1c(C)c(OCC)cc2nsnc12,1.67
CCN1CN(CC)c2cc3nsnc3cc21,1.12
CCNc1c2c(cc3nsnc13)N(C)CCN2CC(C)C,1.35
CCCN1CN(C(C)C)c2cc3nsnc3c(NC)c21,1.08
CCN1CN(C(C)C)c2cc3nsnc3c(NC)c21,1.01
CCCN1CCN(CC)c2c1cc1nsnc1c2N(C)C,1.21
CNc1c(C)c(OC(C)C)cc2nsnc12,1.36
CCCCN1CN(C(C)CC)c2cc3nsnc3cc21,0.78
CC(C)OC1N(C)c2cc3nsnc3cc2N1C(C)C,1.11
CCC(C)N1CN(CC)c2c1cc1nsnc1c2NC,1.29
CCC(C)N1c2cc3nsnc3cc2N(CC)C1OC,1.15
COc1cc2nsnc2c2c1OCCCC2,1.61
CCCN1CN(CC)c2cc3nsnc3cc21,1.03
CCOc1cc2nsnc2cc1OCC,1.53
CCOc1cc(N(C)C)c2nsnc2c1,1.22
CC1Cc2c(c3c(c4nsnc24)NCCC3)O1,1.36
COc1cc2nsnc2c2c1OC(C)CC2,1.36
CCCCN1CN(C)c2c1cc1nsnc1c2NCC,1
CCNc1c2c(cc3nsnc13)N(C)CCN2C(C)CC,1.18
CCNc1c(C)c(OC)cc2nsnc12,1.58
Cc1cc2nsnc2c2c1C(C)CCN2,1.32
CCC(C)N1CN(C)c2c1cc1nsnc1c2NC,1.2
CCOc1cc2nsnc2c(NC)c1C,1.32
CCC(C)N1CN(CC)c2cc3nsnc3c(NC)c21,1.38
CCN1CN(CC(C)C)c2cc3nsnc3cc21,1.14
CCCN1CN(C)c2c1cc1nsnc1c2NC(C)C,1.22
CCCCN1c2cc3nsnc3cc2N(CC)C1OC,1.1
Cc1cc2nsnc2c2c1CCC(C)N2,1.48
COc1cc2nsnc2c2c1CC(C)CN2,1.29
CCN1CN(C(C)C)c2cc3nsnc3cc21,1.05
COc1cc2nsnc2cc1OCC(C)C,1.37
CNc1c2c(cc3nsnc13)N(CC(C)C)CN2C,1.24
CCOCCN1CCN(C)c2cc3nsnc3c(CC)c21,1.3
CCCN1CCN(C(C)C)c2cc3nsnc3c(OC)c21,1.42
CCNc1cc(OCC(C)C)cc2nsnc12,1.37
CCOC1N(C)c2cc3nsnc3cc2N1CC,1.14
CCNc1cc(OCC)cc2nsnc12,1.43
CNc1c(N(C)C)c(OC)cc2nsnc12,1.21
CCCOc1cc2nsnc2c(NC)c1C,1.36
CC(C)CN1CN(C(C)C)c2cc3nsnc3cc21,1.03
CCN1c2cc3nsnc3c(C)c2N(CC)C1OC,1.16
CCc1c2c(cc3nsnc13)N(CC)CN2C(C)C,1.08
CCC1Oc2c(cc3nsnc3c2N(C)C)OC1C,1.44
CCCCN1CN(C(C)C)c2cc3nsnc3cc21,1.13
CCN1CN(CC(C)C)c2c1cc1nsnc1c2NC,1.24
CCc1c2c(cc3nsnc13)N(CC(C)C)CN2CC,1.2
CCCCN1CCN(C)c2c1c(C)c1nsnc1c2NC,1.52
CCN(CC)c1c2c(cc3nsnc13)OCC(C)O2,1.53
C1CNc2c(c3c(c4nsnc24)CCO3)C1,1.37
CCN1CCN(C)c2c1c(NC)c1nsnc1c2C,1.27
CCCCN1CN(CC)c2c1cc1nsnc1c2C,1.14
COC1N(C)c2c(cc3nsnc3c2C)N1C(C)C,1.21
CCNc1c2c(c(C)c3nsnc13)N(CC)CCN2C,1.28
CCCc1c2c(cc3nsnc13)N(CCC)CN2CC,1.04
CCN1CN(C)c2c1c(C)c1nsnc1c2NC,1.17
CCN1c2cc3nsnc3cc2N(C)C1OC(C)C,1.14
CCc1c2c(cc3nsnc13)N(CC)C(OC)N2C,1.14
CCOc1cc(NCC(C)C)c2nsnc2c1,1.45
CCc1c2c(c(NC)c3nsnc13)N(C)CCN2CC,1.36
CCCCN1CN(C(C)C)c2c1cc1nsnc1c2C,1.01
CNc1c2c(c(C)c3nsnc13)N(C)CCN2C(C)C,1.26
CCOC1N(C)c2cc3nsnc3c(NC)c2N1C,1.14
COc1cc2nsnc2c(NC(C)C)c1C,1.07
CNc1c(C(C)C)c(OC)cc2nsnc12,1.34
CNc1c2c(c(C)c3nsnc13)N(C(C)C)CN2C,1.2
CC1CCNc2c1c1c(c3nsnc23)CCO1,1.32
CCNc1cc(OC)cc2nsnc12,1.51
CCCc1c2c(cc3nsnc13)N(C(C)C)CN2CC,1.14
COc1c2c(cc3nsnc13)N(C(C)C)CCN2C,1.26
CCC(C)N1CCN(C)c2c1c(NC)c1nsnc1c2C,1.26
Cc1c2c(cc3nsnc13)N(C(C)C)CN2C(C)C,0.95
CCNc1c2c(cc3nsnc13)OCCC2,1.44
CCCc1c(OC)cc2nsnc2c1NC,1.38
CNc1c2c(cc3nsnc13)N(C)CN2CC(C)C,0.9
CCc1c2c(cc3nsnc13)N(C(C)CC)CN2C,1
CCc1c2c(c(C)c3nsnc13)N(CC)CN2CC,1.07
CCc1c2c(cc3nsnc13)N(CC)CN2CC,1.11
CCCNc1c2c(cc3nsnc13)OCCC2,1.45
CCC(C)N1CN(CC)c2cc3nsnc3c(C)c21,1.13
CCOc1cc(NC(C)C)c2nsnc2c1,1.59
COc1cc2nsnc2c2c1CCCCN2,1.42
CCNc1c(CC)c(C)cc2nsnc12,1.49
CCC(C)N1CN(C)c2c1c(C)c1nsnc1c2C,0.99
CCOc1cc(NC(C)CC)c2nsnc2c1,1.23
CCNc1c2c(cc3nsnc13)OCC(C)C2,1.43
CCCCN1CN(CCC)c2c1cc1nsnc1c2C,1
CCN1c2c(ccc3nsnc23)CCC1C,1.52
CCNc1cc(OC(C)CC)cc2nsnc12,1.35
CCCN1CN(CC(C)C)c2cc3nsnc3cc21,1.12
Cc1c2c(cc3nsnc13)N(C(C)C)CN2C,1.13
CC(C)CN1CN(CC(C)C)c2cc3nsnc3cc21,1.1
CNc1c2c(cc3nsnc13)OC(C)CC2,1.41
CNc1c(C)c2c(c3nsnc13)CC(C)O2,1.4
CCc1c2c(c(C)c3nsnc13)N(C(C)C)CN2C,1.22
CCOCCN1CN(CC)c2cc3nsnc3cc21,1.06
CCN1CN(CC)c2c1cc1nsnc1c2C,1.09
CCCNc1c2c(cc3nsnc13)N(C(C)C)CN2C,1.22
CCCN1CN(CCC)c2cc3nsnc3cc21,1.04
CCCc1c(C)cc2nsnc2c1NCC,1.44
CCN1CN(C(C)C)c2c1cc1nsnc1c2C,1.25
CCCOc1cc(NC(C)C)c2nsnc2c1,1.23
CCC(C)N1CN(C)c2c1cc1nsnc1c2C,1.04
CCCCN1CN(C)c2cc3nsnc3cc21,1.11
CCN1c2cc3nsnc3cc2N(C)C1OCC(C)C,1.15
CCCN1CN(C(C)CC)c2cc3nsnc3cc21,1.11
CCNc1c2c(cc3nsnc13)N(C(C)C)CN2C,1.34
CCCN1CN(CCC)c2c1cc1nsnc1c2C,1.05
CCCN1c2cc3nsnc3c(C)c2N(C)C1OC,1.2
CCOc1c2c(cc3nsnc13)N(C(C)C)CCN2C,1.25
CNc1c(N(C)C)c(C)cc2nsnc12,1.48
CCN1CN(C)c2c1c(C)c1nsnc1c2C,1.12
CCCCN1CN(CC(C)C)c2cc3nsnc3cc21,1.07
CCN(C)c1cc(OC)cc2nsnc12,1.33
CC(C)CN1CN(C)c2cc3nsnc3cc21,1.05
CCCN1CN(C(C)C)c2cc3nsnc3cc21,1.02
Cc1c2c(cc3nsnc13)N(CC(C)C)CN2C,1.11
CCCN1CN(C(C)C)c2c1cc1nsnc1c2C,1.24
CCCN1CN(C)c2c1cc1nsnc1c2C,1.12
CNc1c2c(c(C)c3nsnc13)OCCC2,1.38
CNc1c2c(cc3nsnc13)OCCC2C,1.43
CCNc1c2c(cc3nsnc13)OC(C)C2C,1.37
CCCN1CN(C(C)CC)c2cc3nsnc3c(C)c21,1.13
CC1CNc2c(c3c(c4nsnc24)CCO3)C1,1.43
CCNc1c2c(cc3nsnc13)N(CC)CN2C,1.13
CCNc1c2c(cc3nsnc13)N(CC)CN2C(C)C,1.12
Cc1c2c(cc3nsnc13)N(C)CN2C(C)C,1.09
CCC(C)OC1N(C)c2cc3nsnc3cc2N1C,1.11
CNc1c2c(cc3nsnc13)OCCC2,1.41
CCCCN1CN(CC)c2cc3nsnc3c(C)c21,0.93
CCNc1c2c(cc3nsnc13)N(CC)CN2CC,0.86
CCN1c2cc3nsnc3cc2N(C)C1OC,1.11
COc1cc(NC(C)C)c2nsnc2c1,1.23
Cc1c2c(cc3nsnc13)N(C)CN2CC(C)C,1.07
CCCCN1CN(CCOC)c2cc3nsnc3cc21,1.23
CNc1cc2c(c3nsnc13)CCC(C)O2,1.28
CNc1c2c(cc3nsnc13)N(C(C)C)CN2C,1.21
CCCOc1cc(NC)c2nsnc2c1,1.3
CNc1c2c(cc3nsnc13)OCC(C)C2,1.41
CCNc1c(N(C)C)c(C)cc2nsnc12,1.49
CCCCN1CN(CCC)c2cc3nsnc3cc21,1.08
CCC(C)N1CN(C)c2cc3nsnc3c(C)c21,0.86
CNc1c2c(c(C)c3nsnc13)N(C(C)C)CCN2C,1.35
CCN1CN(C(C)C)c2c1c(C)c1nsnc1c2C,1.17
Cc1c2c(c(C)c3nsnc13)N(C(C)C)CN2C,1.15
Cc1c2c(cc3nsnc13)N(C)C(OC(C)C)N2C,1.19
CCCCOc1cc(NC)c2nsnc2c1,1.37
CCN1CN(C)c2c1c(NC)c1nsnc1c2C,1.22
CCNc1c2c(c(OC)c3nsnc13)N(C)CCN2C,1.53
CCCOc1cc(NCC)c2nsnc2c1,1.35
CCC(C)N1CCN(CC)c2cc3nsnc3c(OC)c21,1.2
CCc1c2c(c(C)c3nsnc13)CC(C)O2,1.37
COc1cc2nsnc2c2c1C(C)(C)CN2,1.42
CNc1c(C)c2c(c3nsnc13)C(C)CO2,1.39
CNc1c(C)c2c(c3nsnc13)CCO2,1.4
Cc1c2c(c(C)c3nsnc13)OC(C)C2,1.38
CNc1cc(OC)cc2nsnc12,1.39
CNc1c2c(cc3nsnc13)CCC2C,1.63
CC(C)CNc1c2c(cc3nsnc13)C1CCC2C1,1.35
CCN1CCN(C)c2c1c(C)c1nsnc1c2NC,1.29
CNc1c2c(cc3nsnc13)N(CCOC)CCN2C,1.25
CCN1CN(C)c2c1cc1nsnc1c2NC(C)C,1.18
CCCN1CCN(CC)c2cc3nsnc3c(OC)c21,1.3
CCNc1c2c(c(CC)c3nsnc13)C1CCC2C1,1.53
CCNc1c2c(cc3nsnc13)N(C)CN2C(C)C,1.11
CNc1cc2c(c3nsnc13)CC(C)CO2,1.42
CCNc1c2c(cc3nsnc13)OCC2C,1.44
CCCN1CN(C)c2c1cc1nsnc1c2NC,1.27
CCCN1CCN(C)c2c1c(C)c1nsnc1c2NC,1.33
CNc1c2c(c(C)c3nsnc13)OC(C)C2,1.27
CNc1c2c(cc3nsnc13)OCCN2C,1.4
CCC1Cc2c(c(C)c3nsnc3c2C)O1,1.42
CCNc1c2c(cc3nsnc13)OC(C)C(C)O2,1.31
CNc1cc2c(c3nsnc13)CCCO2,1.37
CCCCNc1cc(C)cc2nsnc12,1.47
CCNc1cc2c(c3nsnc13)C(C)(C)CO2,1.36
CCN1CN(C(C)C)c2c1cc1nsnc1c2NC,1.05
Cc1c2c(c(OC(C)C)c3nsnc13)OC(C)CO2,1.53
CCCCN1CN(CC)c2cc3nsnc3cc21,1.11
CCCN1CN(CC)c2cc3nsnc3c(NC)c21,1.11
CCN1CN(C)c2c1cc1nsnc1c2C,1.11
CCC1Oc2c(cc3nsnc3c2C)OC1C(C)C,1.33
CCNc1cc2c(c3nsnc13)CCO2,1.41
CNc1c2c(cc3nsnc13)OC(C)C2,1.44
CCN1CN(C)c2cc3nsnc3c(NC)c21,1.09
CCCNc1c2c(c(C)c3nsnc13)C1CCC2C1,1.18
CCCCN1CN(C)c2c1cc1nsnc1c2NC,1.09
CCNc1c2c(cc3nsnc13)C1CCC2C1,1.4
CCN1CN(C)c2c1cc1nsnc1c2NCC(C)C,1.09
CCN1c2cc3nsnc3c(NC)c2N(C)C1OC,1.22
CCC(C)Nc1cc(OC)cc2nsnc12,1.23
CCNc1c2c(cc3nsnc13)N(CC(C)C)CN2C,1.19
COCCN1CN(C)c2c1cc1nsnc1c2C,1.16
CCCN1CN(CC)c2cc3nsnc3c(C)c21,1.01
CCCN1CN(C)c2cc3nsnc3cc21,1.1
CCCc1cc(NCC)c2nsnc2c1,1.47
CCNc1c2c(c(CC)c3nsnc13)OC(C)CO2,1.31
CCCN1c2c(cc3nsnc3c2C)N(C)C1OC,1.11
CNc1c2c(c(C(C)C)c3nsnc13)N(C)CN2C,0.97
CCC1Oc2cc3nsnc3c(C)c2OC1C(C)C,1.42
CCCC1Oc2c(cc3nsnc3c2NC)OC1C,1.28
CC(C)CNc1c2c(cc3nsnc13)N(C)CN2C,1.37
CNc1c2c(c(C)c3nsnc13)OC(C)C(C)O2,1.44
CNc1c2c(c(C)c3nsnc13)CCN2C,1.29
Cc1c2c(c(C)c3nsnc13)C(C)(C)CO2,1.41
CCC1CNc2c1c(OC)cc1nsnc21,1.42
CNc1c2c(cc3nsnc13)N(CCOC)CN2C,1.05
CNc1c2c(c(C)c3nsnc13)C1CCC2C1,1.33
CCCN1CN(C)c2c1c(C)c1nsnc1c2C,1.11
CCNc1cc2c(c3nsnc13)C(CC)CO2,1.37
CNc1c2c(c(C)c3nsnc13)N(C)CCN2C,1.38
CCCOc1cc2nsnc2c2c1OCCN2,1.35
CC1Cc2cc3nsnc3c(N(C)C)c2O1,1.45
CCOc1cc2nsnc2c2c1OC(C)CO2,1.35
CCNc1c2c(cc3nsnc13)N(C)CC2,1.32
CCNc1c2c(c(C)c3nsnc13)OC(CC)CO2,1.37
CCC1COc2c1c(C)c1nsnc1c2C,1.44
CCNc1c2c(cc3nsnc13)OC(CC)CO2,1.4
CCC(C)N1CN(C)c2cc3nsnc3c(NC)c21,0.91
CCCNc1cc(CC)cc2nsnc12,1.41
CCOc1cc(NC)c2nsnc2c1CC,1.38
Cc1c2c(c(C)c3nsnc13)C(C)CO2,1.4
CNc1c2c(cc3nsnc13)OCCCC2,1.43
CCNc1c2c(cc3nsnc13)N(C)CN2CC(C)C,1.1
CCCN(CC(C)C)c1ccc2nsnc2c1,1.33
CCc1c2c(c(C)c3nsnc13)OCC2,1.39
CCNc1c2c(c(C)c3nsnc13)OC(C)CO2,1.45
CNc1c2c(cc3nsnc13)OCC2C,1.32
CNc1c2c(c(C)c3nsnc13)N(C)CN2C,1.12
CCc1c2c(c(NC)c3nsnc13)N(CC)CN2C,1.33
